1,"An example of image extraction of a vector graphics figure by the PDF parsing tool, Xpdf. (a) The original figure taken from, Fig.Â 3. (b) The image, as extracted by Xpdf, broken into its small constituent image parts",1
2,"Summary of our figure and caption extraction process. Step 1: the PDF document is parsed using the Xpdf tool, into text contents stored as an HTML file, along with text-stripped pages that hold only graphical contents; Step 2: basic layout information is obtained from the HTML file; Step 3: potential captions and potential figure regions are identified; Step 4: graphical contents of figures are detected by applying CCA to the text-stripped pages; Step 5: information stemming from Steps 3 and 4 is used to disambiguate and determine actual figure regions; Step 6: figure captions detected in Step 3 and associated with figures in Step 5 are expanded to include the adjacent text block",1
3,"An example of a PDF page (, p.1) parsed using Xpdf. (a) The original PDF page before parsing, where the contents region is shown within the dashed red box. (b) The text-stripped page containing the graphical contents only. (c) The text objects (rectangles) representing the text-lines extracted, along with their respective position on the original page",1
4,"Identification of potential caption and figure regions. Potential captions are indicated as small solid boxes and the associated potential figure regions are shown as large dashed boxes. (a) Example of potential caption and figure regions within a single-column document. Notably, at this stage, the indicated rectangles are only potential figure regions, and as such the number of potential figures can exceed the number of potential captions. (b) Example of potential caption and figure regions within a two-column document",1
5,"Graphical contents detection: (a) a text-stripped page (enlarged region from, p.1); (b) binary mask generated to separate foreground (black) from background (white); (c) dilation of the foreground. Regions shown in black (foreground) in panel b are enlarged via dilation. Closely adjacent black regions (e.g. rectangles on the top row) are merged, thus resulting in connected components and (d) the graphical contents detected by employing CCA. Each detected component is framed by a blue bounding box",1
6,"An example of the figure disambiguation process. (a) The original PDF page (, p.1). (b) Blue bounding boxes surrounding connected components, while the potential caption region is surrounded by a green dashed box; the entire potential figure region is shown encompassed by a thick orange box. (c) The figure region, shown within a red box, as identified at the end of the disambiguation process",1
7,"Examples of figures and captions extracted by our system, PDFigCapX (top), pdffigures2 (middle) and PDFPlotExtractor (bottom). Extracted figures are shown within a solid red box; regions of extracted captions are shown in a dashed green box. A page shown without annotated boxes (a1 and c1) indicates that neither figure nor caption was extracted from the page. Subfigure (a) shows a correct extraction by our system when a figure is located above its caption within a single-column document. Subfigure (b) shows an extraction by our system when a figure is located above its caption within a two-column document. Subfigure (c) shows multiple figures and caption pairs extracted when the figures may span one or two columns. Subfigure (d) shows extraction of a figure and caption pair in a challenging setting where the caption appears to the right of its respective figure within a two-column document. Subfigures (a1)â(d1) show the (incorrect) extractions obtained by pdffigures2 when applied to the same respective pages. Similarly, subfigures (a2)â(d2) show the extraction obtained by PDFPlotExtractor on the same set of pages. The original pages (a)â(d) are taken from, p.7),, p.4),, p.6) and, p.7), respectively",1
8,"Examples of inaccurate extraction by our method. Extracted figures are shown within a red box; estimated regions of extracted captions are shown surrounded by a dashed green box. (a) An overestimated figure region. Our method erroneously combined the figure on the top-left with the graphical contents serving as background to the bottom-right table (original page from, p.4). (b) Caption region boundaries incorrectly estimated due to misidentified formatting information. The caption text itself is correctly extracted in full (original page from, p.4)",1
9,Figures,2
10,The molecular structure of (I) showing displacement ellipsoids at the 50% probability level.,2
11,"Overlay diagram of (I), shown in blue, with the parent 5Î±-cholest-2-ene, shown in red.",2
12,Crystal data,2
13,Data collection,2
14,Refinement,2
15,Feeltrace tool with a still image from a clip.,3
16,"Trace means and generalized additive model terms with coefficients varying for each country for Clips 1, 3, 4 and 7.",3
17,"Shaded red areas represent the 95% confidence intervals. Time in seconds is on the x axis, this differs for each clip. Valence is on the y axis the total range is from â100 to +100 here each clip covers a different range between 50 and 100 units.",3
18,Phenotype of Bcr-Abl over-expressing imatinib resistant (IMR) cells.,4
19,(A) Bcr-Abl expression and activity. Upper panel: Bcr-Abl protein level and autophosphorylation in imatinib-sensitive cells (p190wt) in comparison to imatinib-resistant cell clones (IMR6 and IMR10) in the presence or absence of 2 ÂµM imatinib. Lower panel: activity of Bcr-Abl downstream-signaling in IMR cells in the presence of imatinib and following imatinib withdrawal. (B) Effect of imatinib on survival (as measured by MTT) of Bcr-Abl over-expressing p190IMR clones in comparison to cell expressing wtBcr-Abl (p190wt) or T315IBcr-Abl (p190T315I). IC50 values of p190wt and p190T315I cells are indicated with dotted lines (C) Effect of imatinib deprivation on cell cycle distribution. Cells were cultivated in absence or presence of imatinib for indicated time periods and pulse treated with BrdU for 45 min. Cells were then fixed and evaluated for DNA content and synthesis via BrdU and propidium iodide (PI) staining and analyzed by flow cytometry. (D) Effect of imatinib deprivation on cell viability. Cells were stained with Annexin V or PI alone (upper two panels) or with the combination of both Annexin V and PI (lower panel) and analyzed by Flow cytometry.,4
20,Imatinib withdrawal alters cell metabolism in IMR cells.,4
